Low Range,High Range,Side,Street Name,Postal City,Zip 5,Zip 4,District,School Dist,Village Dist,US Cong,Exec Counc,State Sen,State Rep,State Rep Flot,County Name,County Comm Dist
12,24,EVEN,"Main St",Dover,03820,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
11,45,ODD,"High St",Epping,03042,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,59,ODD,"Maple Ave",Laconia,03246,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
16,26,EVEN,"Maple Ave",Salem,03079,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
9,13,ODD,"Oak St",Manchester,03101,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
2,42,EVEN,"Pine St",Concord,03301,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
18,62,EVEN,"Elm St",Concord,03301,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,43,ODD,"Cedar St",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
2,12,EVEN,"Birch St",Manchester,03101,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
5,55,ODD,"Walnut St",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
20,70,EVEN,"Walnut St",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
6,56,EVEN,"Willow St",Enfield,03441,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
10,32,EVEN,"Sunset Blvd",Lebanon,03766,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
13,21,ODD,"Broadway",Nashua,03060,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
6,52,EVEN,"Broadway",Enfield,03441,,00,40,N/A,2,5,11,43,37,HILLSBOROUGH,"3RD HILLSBRGH"
