precinct_name,precinct_group,num_contests,total_options,total_uint16s,estimated_size_bytes,estimated_size_kb
"Ash Township, Precinct 2",Ash Township,6,6,25,50,0.05
"Berlin Township, Precinct 2",Berlin Township,5,5,21,42,0.04
"Canton Township, Precinct 1",Canton Township,39,160,278,556,0.54
"Canton Township, Precinct 10",Canton Township,41,159,283,566,0.55
"Canton Township, Precinct 11",Canton Township,41,164,288,576,0.56
"Canton Township, Precinct 12",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 13",Canton Township,41,164,288,576,0.56
"Canton Township, Precinct 14",Canton Township,41,167,291,582,0.57
"Canton Township, Precinct 15",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 16",Canton Township,41,161,285,570,0.56
"Canton Township, Precinct 17",Canton Township,41,167,291,582,0.57
"Canton Township, Precinct 18",Canton Township,41,162,286,572,0.56
"Canton Township, Precinct 19",Canton Township,41,160,284,568,0.55
"Canton Township, Precinct 2",Canton Township,39,162,280,560,0.55
"Canton Township, Precinct 20",Canton Township,42,168,295,590,0.58
"Canton Township, Precinct 21",Canton Township,41,162,286,572,0.56
"Canton Township, Precinct 22",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 23",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 24",Canton Township,41,166,290,580,0.57
"Canton Township, Precinct 25",Canton Township,41,162,286,572,0.56
"Canton Township, Precinct 26",Canton Township,41,167,291,582,0.57
"Canton Township, Precinct 27",Canton Township,41,166,290,580,0.57
"Canton Township, Precinct 28",Canton Township,41,167,291,582,0.57
"Canton Township, Precinct 29",Canton Township,41,167,291,582,0.57
"Canton Township, Precinct 3",Canton Township,39,157,275,550,0.54
"Canton Township, Precinct 30",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 31",Canton Township,41,171,295,590,0.58
"Canton Township, Precinct 32",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 33",Canton Township,41,160,284,568,0.55
"Canton Township, Precinct 4",Canton Township,41,159,283,566,0.55
"Canton Township, Precinct 5",Canton Township,41,158,282,564,0.55
"Canton Township, Precinct 6",Canton Township,41,156,280,560,0.55
"Canton Township, Precinct 7",Canton Township,41,159,283,566,0.55
"Canton Township, Precinct 8",Canton Township,41,165,289,578,0.56
"Canton Township, Precinct 9",Canton Township,41,163,287,574,0.56
"Charter Township of Brownstown, Precinct 1",Charter Township of Brownstown,39,158,276,552,0.54
"Charter Township of Brownstown, Precinct 10",Charter Township of Brownstown,39,156,274,548,0.54
"Charter Township of Brownstown, Precinct 11",Charter Township of Brownstown,39,148,266,532,0.52
"Charter Township of Brownstown, Precinct 12",Charter Township of Brownstown,39,152,270,540,0.53
"Charter Township of Brownstown, Precinct 2",Charter Township of Brownstown,39,157,275,550,0.54
"Charter Township of Brownstown, Precinct 3",Charter Township of Brownstown,39,157,275,550,0.54
"Charter Township of Brownstown, Precinct 4",Charter Township of Brownstown,39,156,274,548,0.54
"Charter Township of Brownstown, Precinct 5",Charter Township of Brownstown,39,153,271,542,0.53
"Charter Township of Brownstown, Precinct 6",Charter Township of Brownstown,39,155,273,546,0.53
"Charter Township of Brownstown, Precinct 7",Charter Township of Brownstown,39,147,265,530,0.52
"Charter Township of Brownstown, Precinct 8",Charter Township of Brownstown,39,153,271,542,0.53
"Charter Township of Brownstown, Precinct 9",Charter Township of Brownstown,40,166,287,574,0.56
"Charter Township of Huron, Precinct 1",Charter Township of Huron,37,144,256,512,0.50
"Charter Township of Huron, Precinct 2",Charter Township of Huron,37,144,256,512,0.50
"Charter Township of Huron, Precinct 3",Charter Township of Huron,39,151,269,538,0.53
"Charter Township of Huron, Precinct 4",Charter Township of Huron,40,162,283,566,0.55
"Charter Township of Northville, Precinct 1",Charter Township of Northville,41,154,278,556,0.54
"Charter Township of Northville, Precinct 10",Charter Township of Northville,41,165,289,578,0.56
"Charter Township of Northville, Precinct 11",Charter Township of Northville,41,165,289,578,0.56
"Charter Township of Northville, Precinct 12",Charter Township of Northville,41,155,279,558,0.54
"Charter Township of Northville, Precinct 2",Charter Township of Northville,41,160,284,568,0.55
"Charter Township of Northville, Precinct 3",Charter Township of Northville,41,159,283,566,0.55
